scenario,eta,eval_episodes,mean_travel_time_proxy_seconds,mean_mean_delay_seconds,mean_average_travel_time_seconds,mean_completed_vehicles,mean_total_stop_events,mean_average_stops_per_observed_vehicle,mean_mean_queue,mean_cycles
scenario1_low_demand,0.001,10,120.421853,0.421853,160.75,319.7,32.5,8.125,16.8625,8.0
scenario1_low_demand,0.005,10,120.421554,0.421554,160.75,319.7,32.6,8.15,16.85,8.0
scenario1_low_demand,0.01,10,120.418649,0.418649,160.5,319.8,32.5,8.125,16.7375,8.0
scenario1_low_demand,0.05,10,120.410111,0.410111,159.5,320.2,31.8,7.95,16.425,8.0
scenario1_low_demand,0.1,10,120.431376,0.431376,161.25,319.5,28.9,7.225,17.25,8.0
scenario1_low_demand,0.5,10,121.070654,1.070654,238.5,288.6,16.8,4.2,38.325,8.0
scenario1_low_demand,1.0,10,121.449188,1.449188,278.75,272.5,14.3,3.575,49.2,8.0
scenario2_high_demand,0.001,10,123.641591,3.641591,1083.0,497.5,5.0,1.25,226.425,8.0
scenario2_high_demand,0.005,10,123.641591,3.641591,1083.0,497.5,5.0,1.25,226.425,8.0
scenario2_high_demand,0.01,10,123.641591,3.641591,1083.0,497.5,5.0,1.25,226.425,8.0
scenario2_high_demand,0.05,10,123.641591,3.641591,1083.0,497.5,4.9,1.225,226.425,8.0
scenario2_high_demand,0.1,10,123.65038,3.65038,1084.0,497.1,5.1,1.275,226.775,8.0
scenario2_high_demand,0.5,10,123.851174,3.851174,1106.75,488.0,5.7,1.425,234.7375,8.0
scenario2_high_demand,1.0,10,123.902813,3.902813,1112.5,485.7,5.8,1.45,236.75,8.0
