total_stop_events,observed_vehicles,completed_vehicles,average_stops_per_observed_vehicle,average_stops_per_completed_vehicle,average_travel_time_seconds,policy,seed,reward,mean_queue,duration_seconds,scenario,episode
57,4,331,14.25,,122.5,semi_coordinated_rl,7,-289.0,0.481667,600,scenario1_low_demand,0
34,4,306,8.5,,120.0,semi_coordinated_rl,8,-231.0,0.385,600,scenario1_low_demand,1
49,4,334,12.25,,120.0,semi_coordinated_rl,9,-247.0,0.411667,600,scenario1_low_demand,2
47,4,302,11.75,,120.0,semi_coordinated_rl,10,-235.0,0.391667,600,scenario1_low_demand,3
36,4,304,9.0,,122.5,semi_coordinated_rl,11,-202.0,0.336667,600,scenario1_low_demand,4
34,4,285,8.5,,120.0,semi_coordinated_rl,12,-192.0,0.32,600,scenario1_low_demand,5
33,4,292,8.25,,120.0,semi_coordinated_rl,13,-185.0,0.308333,600,scenario1_low_demand,6
43,4,318,10.75,,120.0,semi_coordinated_rl,14,-234.0,0.39,600,scenario1_low_demand,7
31,4,287,7.75,,122.5,semi_coordinated_rl,15,-197.0,0.328333,600,scenario1_low_demand,8
43,4,313,10.75,,125.0,semi_coordinated_rl,16,-250.0,0.416667,600,scenario1_low_demand,9
34,4,283,8.5,,122.5,semi_coordinated_rl,17,-196.0,0.326667,600,scenario1_low_demand,10
34,4,295,8.5,,120.0,semi_coordinated_rl,18,-192.0,0.32,600,scenario1_low_demand,11
30,4,298,7.5,,120.0,semi_coordinated_rl,19,-197.0,0.328333,600,scenario1_low_demand,12
36,4,360,9.0,,120.0,semi_coordinated_rl,20,-218.0,0.363333,600,scenario1_low_demand,13
34,4,308,8.5,,120.0,semi_coordinated_rl,21,-222.0,0.37,600,scenario1_low_demand,14
30,4,319,7.5,,120.0,semi_coordinated_rl,22,-208.0,0.346667,600,scenario1_low_demand,15
28,4,319,7.0,,120.0,semi_coordinated_rl,23,-202.0,0.336667,600,scenario1_low_demand,16
29,4,302,7.25,,120.0,semi_coordinated_rl,24,-205.0,0.341667,600,scenario1_low_demand,17
