scenario,policy,eval_episodes,uses_qplf_piecewise_linear_approximation,uses_full_state_tabular_rl,uses_backpressure_action,reward_signal,mean_travel_time_proxy_seconds,mean_mean_delay_seconds,mean_average_travel_time_seconds,mean_completed_vehicles,mean_total_stop_events,mean_average_stops_per_observed_vehicle,mean_env_reward,mean_qplf_reward,mean_mean_qplf,mean_mean_queue
scenario1_low_demand,full_state_independent_rl,10,False,True,False,chapter4_inverse_next_queue,518.13769,398.13769,570.25,137.5,2.0,0.5,-54359.6,19.89924,5560.260333,90.599333
scenario1_low_demand,independent_pwl_qplf,10,True,False,False,chapter4_inverse_next_queue,150.112056,30.112056,191.5,289.0,19.3,4.825,-8537.7,121.285557,223.503833,14.2295
scenario1_low_demand,semi_coordinated_pwl_qplf,10,True,False,False,chapter4_inverse_next_queue,177.244016,57.244016,221.25,277.1,8.6,2.15,-15816.9,47.049481,493.287834,26.3615
scenario1_low_demand,centralized_full_state_rl,10,False,True,False,chapter4_inverse_next_queue,518.13769,398.13769,570.25,137.5,2.0,0.5,-54359.6,19.89924,5560.260333,90.599333
scenario1_low_demand,cyclic_queue_backpressure,10,False,False,True,not_learned,120.418846,0.418846,154.25,322.9,31.6,7.9,-135.3,-78.5,108.3625,16.9125
scenario2_high_demand,full_state_independent_rl,10,False,True,False,chapter4_inverse_next_queue,165.363806,45.363806,268.0,763.6,50.6,12.65,-34609.7,15.024224,2131.235833,57.682833
scenario2_high_demand,independent_pwl_qplf,10,True,False,False,chapter4_inverse_next_queue,137.397451,17.397451,225.75,780.5,73.7,18.425,-13548.3,70.932548,684.2025,22.5805
scenario2_high_demand,semi_coordinated_pwl_qplf,10,True,False,False,chapter4_inverse_next_queue,138.617154,18.617154,196.75,792.1,26.4,6.6,-14740.9,29.857125,315.449833,24.568167
scenario2_high_demand,centralized_full_state_rl,10,False,True,False,chapter4_inverse_next_queue,165.363806,45.363806,268.0,763.6,50.6,12.65,-34609.7,15.024224,2131.235833,57.682833
scenario2_high_demand,cyclic_queue_backpressure,10,False,False,True,not_learned,123.593114,3.593114,1072.75,495.9,5.0,1.25,-1781.9,-36618.3,15317.6625,222.7375
