total_stop_events,observed_vehicles,completed_vehicles,average_stops_per_observed_vehicle,average_stops_per_completed_vehicle,average_travel_time_seconds,policy,seed,env_reward,qplf_reward,mean_qplf,mean_queue,mean_delay_seconds,travel_time_proxy_seconds,duration_seconds,scenario,episode
59,4,331,14.75,,122.5,independent_pwl_qplf,7,-300.0,-1.0,0.54,0.5,0.906344,120.906344,600,scenario1_low_demand,0
34,4,306,8.5,,120.0,independent_pwl_qplf,8,-243.0,0.0,0.448333,0.405,0.794118,120.794118,600,scenario1_low_demand,1
39,4,333,9.75,,122.5,independent_pwl_qplf,9,-229.0,-1.0,0.408333,0.381667,0.687688,120.687688,600,scenario1_low_demand,2
44,4,302,11.0,,120.0,independent_pwl_qplf,10,-210.0,0.0,0.37,0.35,0.695364,120.695364,600,scenario1_low_demand,3
46,4,304,11.5,,122.5,independent_pwl_qplf,11,-241.0,-1.0,0.435,0.401667,0.792763,120.792763,600,scenario1_low_demand,4
42,4,285,10.5,,120.0,independent_pwl_qplf,12,-212.0,0.0,0.366667,0.353333,0.74386,120.74386,600,scenario1_low_demand,5
39,4,292,9.75,,120.0,independent_pwl_qplf,13,-226.0,0.0,0.386667,0.376667,0.773973,120.773973,600,scenario1_low_demand,6
48,4,318,12.0,,120.0,independent_pwl_qplf,14,-258.0,0.0,0.453333,0.43,0.811321,120.811321,600,scenario1_low_demand,7
36,4,287,9.0,,122.5,independent_pwl_qplf,15,-196.0,-1.0,0.33,0.326667,0.682927,120.682927,600,scenario1_low_demand,8
47,4,315,11.75,,120.0,independent_pwl_qplf,16,-263.0,0.0,0.475,0.438333,0.834921,120.834921,600,scenario1_low_demand,9
37,4,282,9.25,,125.0,independent_pwl_qplf,17,-219.0,-2.0,0.408333,0.365,0.776596,120.776596,600,scenario1_low_demand,10
39,4,294,9.75,,122.5,independent_pwl_qplf,18,-207.0,-1.0,0.368333,0.345,0.704082,120.704082,600,scenario1_low_demand,11
38,4,298,9.5,,120.0,independent_pwl_qplf,19,-223.0,0.0,0.385,0.371667,0.748322,120.748322,600,scenario1_low_demand,12
48,4,360,12.0,,120.0,independent_pwl_qplf,20,-270.0,0.0,0.473333,0.45,0.75,120.75,600,scenario1_low_demand,13
38,4,308,9.5,,120.0,independent_pwl_qplf,21,-236.0,0.0,0.4,0.393333,0.766234,120.766234,600,scenario1_low_demand,14
34,4,319,8.5,,120.0,independent_pwl_qplf,22,-224.0,0.0,0.38,0.373333,0.702194,120.702194,600,scenario1_low_demand,15
37,4,319,9.25,,120.0,independent_pwl_qplf,23,-229.0,0.0,0.395,0.381667,0.717868,120.717868,600,scenario1_low_demand,16
37,4,302,9.25,,120.0,independent_pwl_qplf,24,-215.0,0.0,0.375,0.358333,0.711921,120.711921,600,scenario1_low_demand,17
26,4,326,6.5,,120.0,independent_pwl_qplf,25,-201.0,0.0,0.341667,0.335,0.616564,120.616564,600,scenario1_low_demand,18
48,4,324,12.0,,120.0,independent_pwl_qplf,26,-241.0,0.0,0.405,0.401667,0.743827,120.743827,600,scenario1_low_demand,19
24,4,302,6.0,,120.0,independent_pwl_qplf,27,-191.0,0.0,0.321667,0.318333,0.63245,120.63245,600,scenario1_low_demand,20
27,4,312,6.75,,122.5,independent_pwl_qplf,28,-223.0,-1.0,0.378333,0.371667,0.714744,120.714744,600,scenario1_low_demand,21
38,4,313,9.5,,122.5,independent_pwl_qplf,29,-233.0,-1.0,0.415,0.388333,0.744409,120.744409,600,scenario1_low_demand,22
39,4,314,9.75,,122.5,independent_pwl_qplf,30,-228.0,-1.0,0.403333,0.38,0.726115,120.726115,600,scenario1_low_demand,23
32,4,291,8.0,,122.5,independent_pwl_qplf,31,-197.0,-1.0,0.328333,0.328333,0.676976,120.676976,600,scenario1_low_demand,24
