total_stop_events,observed_vehicles,completed_vehicles,average_stops_per_observed_vehicle,average_stops_per_completed_vehicle,average_travel_time_seconds,policy,algorithm,seed,mean_delay_seconds,travel_time_proxy_seconds,mean_queue,duration_seconds,scenario,episode,policy_label
55,4,331,13.75,,122.5,independent_full_rl,Independent Learner - Full RL,7,4.199396,124.199396,2.316667,600,scenario1_low_demand,0,Independent Learner - Full RL
64,4,305,16.0,,122.5,independent_full_rl,Independent Learner - Full RL,8,2.95082,122.95082,1.5,600,scenario1_low_demand,1,Independent Learner - Full RL
68,4,333,17.0,,122.5,independent_full_rl,Independent Learner - Full RL,9,1.546547,121.546547,0.858333,600,scenario1_low_demand,2,Independent Learner - Full RL
62,4,302,15.5,,120.0,independent_full_rl,Independent Learner - Full RL,10,1.423841,121.423841,0.716667,600,scenario1_low_demand,3,Independent Learner - Full RL
71,4,304,17.75,,122.5,independent_full_rl,Independent Learner - Full RL,11,1.578947,121.578947,0.8,600,scenario1_low_demand,4,Independent Learner - Full RL
50,4,285,12.5,,120.0,independent_full_rl,Independent Learner - Full RL,12,1.761404,121.761404,0.836667,600,scenario1_low_demand,5,Independent Learner - Full RL
63,4,291,15.75,,122.5,independent_full_rl,Independent Learner - Full RL,13,1.762887,121.762887,0.855,600,scenario1_low_demand,6,Independent Learner - Full RL
74,4,317,18.5,,122.5,independent_full_rl,Independent Learner - Full RL,14,1.687697,121.687697,0.891667,600,scenario1_low_demand,7,Independent Learner - Full RL
60,4,287,15.0,,122.5,independent_full_rl,Independent Learner - Full RL,15,1.439024,121.439024,0.688333,600,scenario1_low_demand,8,Independent Learner - Full RL
65,4,315,16.25,,120.0,independent_full_rl,Independent Learner - Full RL,16,1.974603,121.974603,1.036667,600,scenario1_low_demand,9,Independent Learner - Full RL
58,4,282,14.5,,125.0,independent_full_rl,Independent Learner - Full RL,17,1.765957,121.765957,0.83,600,scenario1_low_demand,10,Independent Learner - Full RL
64,4,294,16.0,,122.5,independent_full_rl,Independent Learner - Full RL,18,1.571429,121.571429,0.77,600,scenario1_low_demand,11,Independent Learner - Full RL
57,4,297,14.25,,122.5,independent_full_rl,Independent Learner - Full RL,19,1.902357,121.902357,0.941667,600,scenario1_low_demand,12,Independent Learner - Full RL
61,4,360,15.25,,120.0,independent_full_rl,Independent Learner - Full RL,20,1.686111,121.686111,1.011667,600,scenario1_low_demand,13,Independent Learner - Full RL
57,4,307,14.25,,122.5,independent_full_rl,Independent Learner - Full RL,21,1.710098,121.710098,0.875,600,scenario1_low_demand,14,Independent Learner - Full RL
68,4,319,17.0,,120.0,independent_full_rl,Independent Learner - Full RL,22,1.855799,121.855799,0.986667,600,scenario1_low_demand,15,Independent Learner - Full RL
57,4,319,14.25,,120.0,independent_full_rl,Independent Learner - Full RL,23,1.570533,121.570533,0.835,600,scenario1_low_demand,16,Independent Learner - Full RL
56,4,301,14.0,,122.5,independent_full_rl,Independent Learner - Full RL,24,1.737542,121.737542,0.871667,600,scenario1_low_demand,17,Independent Learner - Full RL
62,4,325,15.5,,122.5,independent_full_rl,Independent Learner - Full RL,25,1.556923,121.556923,0.843333,600,scenario1_low_demand,18,Independent Learner - Full RL
72,4,323,18.0,,122.5,independent_full_rl,Independent Learner - Full RL,26,1.832817,121.832817,0.986667,600,scenario1_low_demand,19,Independent Learner - Full RL
54,4,302,13.5,,120.0,independent_full_rl,Independent Learner - Full RL,27,1.721854,121.721854,0.866667,600,scenario1_low_demand,20,Independent Learner - Full RL
52,4,312,13.0,,122.5,independent_full_rl,Independent Learner - Full RL,28,1.666667,121.666667,0.866667,600,scenario1_low_demand,21,Independent Learner - Full RL
66,4,313,16.5,,122.5,independent_full_rl,Independent Learner - Full RL,29,1.763578,121.763578,0.92,600,scenario1_low_demand,22,Independent Learner - Full RL
56,4,313,14.0,,125.0,independent_full_rl,Independent Learner - Full RL,30,2.054313,122.054313,1.071667,600,scenario1_low_demand,23,Independent Learner - Full RL
58,4,290,14.5,,125.0,independent_full_rl,Independent Learner - Full RL,31,1.92069,121.92069,0.928333,600,scenario1_low_demand,24,Independent Learner - Full RL
