time_seconds,queue_north,queue_south,queue_east,queue_west,total_queue,action,reward,env_reward,scenario,episode,policy,policy_label,algorithm_type,eta,green_north,green_south,green_east,green_west
1,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
2,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
3,0.0,0.0,0.0,1.0,1.0,0,1.0,-1.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
4,0.0,0.0,0.0,1.0,1.0,0,1.0,-1.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
5,0.0,0.0,0.0,1.0,1.0,0,1.0,-1.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
6,0.0,0.0,0.0,1.0,1.0,0,1.0,-1.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
7,0.0,0.0,0.0,1.0,1.0,0,1.0,-1.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
8,0.0,0.0,0.0,1.0,1.0,0,1.0,-1.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
9,0.0,0.0,0.0,1.0,1.0,0,1.0,-1.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
10,0.0,0.0,0.0,1.0,1.0,0,1.0,-1.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
11,0.0,0.0,0.0,1.0,1.0,0,1.0,-1.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
12,0.0,0.0,1.0,1.0,2.0,0,0.5,-2.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
13,0.0,0.0,1.0,1.0,2.0,0,0.5,-2.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
14,0.0,0.0,1.0,1.0,2.0,0,0.5,-2.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
15,0.0,0.0,1.0,1.0,2.0,0,0.5,-2.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
16,0.0,0.0,2.0,1.0,3.0,0,0.3333333333333333,-3.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
17,0.0,0.0,2.0,1.0,3.0,0,0.3333333333333333,-3.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
18,0.0,0.0,3.0,1.0,4.0,0,0.25,-4.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
19,0.0,0.0,3.0,1.0,4.0,0,0.25,-4.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
20,0.0,0.0,3.0,2.0,5.0,0,0.2,-5.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
21,0.0,0.0,3.0,2.0,5.0,0,0.2,-5.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
22,0.0,0.0,3.0,3.0,6.0,0,0.16666666666666666,-6.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
23,0.0,0.0,3.0,3.0,6.0,0,0.16666666666666666,-6.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
24,0.0,0.0,3.0,3.0,6.0,0,0.16666666666666666,-6.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
25,0.0,0.0,3.0,3.0,6.0,0,0.16666666666666666,-6.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
26,0.0,0.0,4.0,3.0,7.0,0,0.14285714285714285,-7.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
27,0.0,0.0,5.0,3.0,8.0,0,0.125,-8.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
28,0.0,0.0,5.0,3.0,8.0,0,0.125,-8.0,scenario1_low_demand,59,independent_full_rl,Independent Learner - Full RL,rl_last_episode,,,,,
